time_s,period_us
0.0,10000000
0.02,1904940
0.04,10000000
0.06,1527955
0.08,10000000
0.1,10000000
0.12000000000000001,10000000
0.14,10000000
0.16,10000000
0.18,10000000
0.19999999999999998,10000000
0.21999999999999997,10000000
0.23999999999999996,1187269
0.25999999999999995,10000000
0.27999999999999997,10000000
0.3,764581
0.32,1099859
0.34,2515923
0.36000000000000004,10000000
0.38000000000000006,876574
0.4000000000000001,1161222
0.4200000000000001,1921668
0.4400000000000001,794940
0.46000000000000013,10000000
0.48000000000000015,10000000
0.5000000000000001,10000000
0.5200000000000001,704101
0.5400000000000001,888371
0.5600000000000002,1108552
0.5800000000000002,1464161
0.6000000000000002,466604
0.6200000000000002,875439
0.6400000000000002,850486
0.6600000000000003,996792
0.6800000000000003,504820
0.7000000000000003,1022704
0.7200000000000003,690690
0.7400000000000003,654319
0.7600000000000003,955578
0.7800000000000004,1115364
0.8000000000000004,682054
0.8200000000000004,645316
0.8400000000000004,527636
0.8600000000000004,662353
0.8800000000000004,764069
0.9000000000000005,483557
0.9200000000000005,469114
0.9400000000000005,527995
0.9600000000000005,586378
0.9800000000000005,650590
1.0000000000000004,303662
1.0200000000000005,712538
1.0400000000000005,644391
1.0600000000000005,484785
1.0800000000000005,373624
1.1000000000000005,360064
1.1200000000000006,356833
1.1400000000000006,684029
1.1600000000000006,417779
1.1800000000000006,316542
1.2000000000000006,254648
1.2200000000000006,363065
1.2400000000000007,483190
1.2600000000000007,399809
1.2800000000000007,285988
1.3000000000000007,235694
1.3200000000000007,305835
1.3400000000000007,331360
1.3600000000000008,318006
1.3800000000000008,266388
1.4000000000000008,282974
1.4200000000000008,227724
1.4400000000000008,287864
1.4600000000000009,345315
1.4800000000000009,205559
1.5000000000000009,232281
1.520000000000001,207110
1.540000000000001,191707
1.560000000000001,296260
1.580000000000001,226369
1.600000000000001,241797
1.620000000000001,211477
1.640000000000001,199700
1.660000000000001,280351
1.680000000000001,173293
1.700000000000001,274634
1.720000000000001,192691
1.740000000000001,236902
1.7600000000000011,184741
1.7800000000000011,221286
1.8000000000000012,163353
1.8200000000000012,175455
1.8400000000000012,197917
1.8600000000000012,151571
1.8800000000000012,165184
1.9000000000000012,208896
1.9200000000000013,175985
1.9400000000000013,195533
1.9600000000000013,186180
1.9800000000000013,157518
2.0000000000000013,144614
2.0200000000000014,145467
2.0400000000000014,173603
2.0600000000000014,160685
2.0800000000000014,140317
2.1000000000000014,168328
2.1200000000000014,154969
2.1400000000000015,162464
2.1600000000000015,145021
2.1800000000000015,134353
2.2000000000000015,152574
2.2200000000000015,144264
2.2400000000000015,133880
2.2600000000000016,155586
2.2800000000000016,136037
2.3000000000000016,141487
2.3200000000000016,126048
2.3400000000000016,122822
2.3600000000000017,142316
2.3800000000000017,127291
2.4000000000000017,142683
2.4200000000000017,142794
2.4400000000000017,130193
2.4600000000000017,133934
2.4800000000000018,121934
2.5000000000000018,127285
2.520000000000002,116936
2.540000000000002,118454
2.560000000000002,121780
2.580000000000002,121249
2.600000000000002,112043
2.620000000000002,107532
2.640000000000002,125240
2.660000000000002,112360
2.680000000000002,112386
2.700000000000002,121493
2.720000000000002,106260
2.740000000000002,111240
2.760000000000002,108759
2.780000000000002,122614
2.800000000000002,102684
2.820000000000002,107247
2.840000000000002,104842
2.860000000000002,112471
